ANO;TOTAL;Automovel;Motocicleta;Caminhonete;Camioneta;Caminhões;Reboque;Utilitario;ânibus;Micro-onibus;Semirreboque;Outros
2021;1.898.404;1.327.453;223.129;128.072;105.267;29.326;25.964;33.392;13.223;6.190;4.837;1.551
2020;1.886.356;1.320.942;221.298;126.013;104.733;29.138;25.791;32.702;13.253;6.194;4.756;1.536
2019;1.840.639;1.296.597;212.805;120.512;101.559;28.380;24.955;30.427;13.379;6.030;4.478;1.517
2018;1.773.275;1.256.207;203.483;113.883;97.317;27.283;23.618;27.267;12.764;5.833;4.113;1.507
2017;1.716.858;1.221.700;196.292;108.904;92.686;26.814;22.503;24.409;12.504;5.633;3.904;1.509
2016;1.665.165;1.188.928;190.440;104.166;88.223;26.587;21.459;22.299;12.259;5.435;3.880;1.489
2015;1.622.396;1.163.978;185.138;99.417;84.152;23.134;20.461;20.273;12.111;5.297;3.767;4.668
2014;1.563.382;1.129.022;176.658;94.634;78.721;22.405;18.746;18.014;11.713;5.154;3.526;4.789
2013;1.491.539;1.084.590;167.489;87.651;73.443;21.723;17.442;15.679;10.682;4.890;3.269;4.681
2012;1.403.788;1.026.451;157.992;79.249;68.552;20.954;16.629;13.250;8.819;4.720;2.936;4.236
